CustomerKey,AnnualIncome
11486,"$10,000 "
11487,"$10,000 "
11488,"$20,000 "
11489,"$20,000 "
11490,"$20,000 "
11491,"$20,000 "
11492,"$30,000 "
11493,"$40,000 "
11495,"$40,000 "
11496,"$40,000 "
11497,"$40,000 "
11499,"$40,000 "
11500,"$40,000 "
11501,"$40,000 "
11502,"$40,000 "
11503,"$50,000 "
11504,"$40,000 "
11505,"$60,000 "
11506,"$60,000 "
11507,"$60,000 "
11508,"$60,000 "
11509,"$30,000 "
11510,"$30,000 "
11511,"$30,000 "
11512,"$20,000 "
11513,"$20,000 "
11514,"$30,000 "
11515,"$30,000 "
11516,"$30,000 "
11517,"$40,000 "
11518,"$40,000 "
11520,"$40,000 "
11521,"$40,000 "
11522,"$80,000 "
11523,"$40,000 "
11524,"$40,000 "
11525,"$40,000 "
11526,"$40,000 "
11527,"$40,000 "
11528,"$40,000 "
11529,"$40,000 "
11530,"$40,000 "
11531,"$40,000 "
11532,"$40,000 "
11533,"$40,000 "
11534,"$60,000 "
11535,"$60,000 "
11536,"$60,000 "
11537,"$60,000 "
11538,"$60,000 "
11539,"$60,000 "
11540,"$60,000 "
11541,"$60,000 "
11542,"$20,000 "
11543,"$20,000 "
11544,"$30,000 "
11545,"$30,000 "
11546,"$30,000 "
11547,"$40,000 "
11549,"$40,000 "
11550,"$40,000 "
11551,"$10,000 "
11552,"$20,000 "
11553,"$20,000 "
11554,"$10,000 "
11555,"$40,000 "
11556,"$20,000 "
11557,"$30,000 "
11558,"$30,000 "
11559,"$30,000 "
11560,"$30,000 "
11561,"$10,000 "
11562,"$20,000 "
11563,"$20,000 "
11564,"$20,000 "
11565,"$20,000 "
11566,"$40,000 "
11567,"$40,000 "
11568,"$20,000 "
11569,"$30,000 "
11570,"$30,000 "
11571,"$30,000 "
11572,"$30,000 "
11573,"$20,000 "
11574,"$20,000 "
11575,"$20,000 "
11576,"$30,000 "
11577,"$30,000 "
11578,"$10,000 "
11579,"$20,000 "
11580,"$30,000 "
11581,"$40,000 "
11582,"$30,000 "
11583,"$30,000 "
11584,"$40,000 "
11585,"$40,000 "
11586,"$40,000 "
11587,"$30,000 "
11588,"$30,000 "
11589,"$40,000 "
11590,"$30,000 "
11591,"$30,000 "
11592,"$20,000 "
11593,"$20,000 "
11594,"$20,000 "
11595,"$20,000 "
11596,"$40,000 "
11597,"$30,000 "
11598,"$30,000 "
11599,"$20,000 "
11600,"$30,000 "
11601,"$30,000 "
11602,"$30,000 "
11603,"$30,000 "
11604,"$30,000 "
11605,"$20,000 "
11606,"$10,000 "
11607,"$20,000 "
11608,"$20,000 "
11609,"$30,000 "
11610,"$30,000 "
11611,"$20,000 "
11612,"$20,000 "
11613,"$30,000 "
11614,"$30,000 "
11615,"$40,000 "
11616,"$40,000 "
11617,"$60,000 "
11618,"$60,000 "
11619,"$50,000 "
11620,"$50,000 "
11621,"$50,000 "
11622,"$50,000 "
11623,"$50,000 "
11624,"$50,000 "
11625,"$50,000 "
11626,"$50,000 "
11627,"$60,000 "
11628,"$40,000 "
11629,"$40,000 "
11630,"$60,000 "
11631,"$60,000 "
11633,"$40,000 "
11634,"$60,000 "
11635,"$60,000 "
11636,"$60,000 "
11637,"$70,000 "
11638,"$70,000 "
11639,"$70,000 "
11640,"$50,000 "
11641,"$50,000 "
11642,"$50,000 "
11643,"$50,000 "
11644,"$40,000 "
11645,"$40,000 "
11646,"$40,000 "
11647,"$40,000 "
11648,"$60,000 "
11649,"$60,000 "
11650,"$60,000 "
11651,"$60,000 "
11652,"$60,000 "
11653,"$60,000 "
11654,"$60,000 "
11655,"$70,000 "
11656,"$70,000 "
11657,"$70,000 "
11658,"$60,000 "
11659,"$60,000 "
11660,"$60,000 "
11661,"$60,000 "
11662,"$60,000 "
11663,"$70,000 "
11664,"$70,000 "
11665,"$70,000 "
11666,"$80,000 "
11667,"$70,000 "
11668,"$70,000 "
11669,"$70,000 "
11670,"$70,000 "
11671,"$60,000 "
11672,"$60,000 "
11673,"$60,000 "
11674,"$60,000 "
11675,"$70,000 "
11676,"$80,000 "
11677,"$60,000 "
11678,"$70,000 "
11679,"$70,000 "
11680,"$70,000 "
11681,"$70,000 "
11682,"$70,000 "
11683,"$80,000 "
11684,"$40,000 "
11685,"$40,000 "
11687,"$40,000 "
11688,"$80,000 "
11689,"$80,000 "
11690,"$60,000 "
11691,"$40,000 "
11692,"$40,000 "
11693,"$50,000 "
11694,"$50,000 "
11695,"$50,000 "
11696,"$50,000 "
11697,"$50,000 "
11698,"$50,000 "
11699,"$60,000 "
11700,"$60,000 "
11701,"$60,000 "
11702,"$60,000 "
11703,"$60,000 "
11705,"$60,000 "
11706,"$60,000 "
11707,"$60,000 "
11708,"$60,000 "
11709,"$60,000 "
11710,"$40,000 "
11711,"$70,000 "
11712,"$70,000 "
11713,"$70,000 "
11714,"$70,000 "
11715,"$70,000 "
11716,"$40,000 "
11717,"$60,000 "
11718,"$60,000 "
11719,"$40,000 "
11720,"$40,000 "
11721,"$40,000 "
11722,"$60,000 "
11723,"$70,000 "
11724,"$70,000 "
11725,"$70,000 "
11726,"$70,000 "
11727,"$60,000 "
11728,"$60,000 "
11729,"$60,000 "
11730,"$60,000 "
11731,"$60,000 "
11732,"$60,000 "
11733,"$60,000 "
11734,"$60,000 "
11735,"$60,000 "
11736,"$60,000 "
11737,"$60,000 "
11738,"$60,000 "
11739,"$70,000 "
11740,"$70,000 "
11741,"$80,000 "
11742,"$60,000 "
11743,"$60,000 "
11744,"$60,000 "
11745,"$60,000 "
11746,"$60,000 "
11747,"$70,000 "
11748,"$70,000 "
11749,"$80,000 "
11750,"$60,000 "
11751,"$80,000 "
11752,"$80,000 "
11753,"$80,000 "
11754,"$90,000 "
11755,"$60,000 "
11756,"$60,000 "
11757,"$70,000 "
11758,"$70,000 "
11759,"$110,000 "
11760,"$70,000 "
11761,"$70,000 "
11762,"$70,000 "
11763,"$80,000 "
11764,"$80,000 "
11765,"$80,000 "
11766,"$90,000 "
11767,"$90,000 "
11768,"$90,000 "
11769,"$50,000 "
11770,"$50,000 "
11771,"$50,000 "
11772,"$50,000 "
11773,"$50,000 "
11774,"$50,000 "
11775,"$50,000 "
11776,"$50,000 "
11777,"$40,000 "
11778,"$60,000 "
11779,"$60,000 "
11780,"$60,000 "
11781,"$60,000 "
11782,"$60,000 "
11783,"$60,000 "
11784,"$40,000 "
11785,"$40,000 "
11786,"$60,000 "
11787,"$60,000 "
11788,"$70,000 "
11789,"$50,000 "
11790,"$50,000 "
11791,"$60,000 "
11792,"$40,000 "
11793,"$40,000 "
11794,"$40,000 "
11795,"$40,000 "
11796,"$40,000 "
11797,"$40,000 "
11798,"$40,000 "
11799,"$40,000 "
11800,"$60,000 "
11801,"$60,000 "
11802,"$60,000 "
11803,"$60,000 "
11804,"$60,000 "
11805,"$70,000 "
11806,"$70,000 "
11807,"$70,000 "
11808,"$60,000 "
11809,"$60,000 "
11810,"$40,000 "
11811,"$40,000 "
11812,"$40,000 "
11813,"$40,000 "
11814,"$60,000 "
11815,"$70,000 "
11816,"$70,000 "
11817,"$70,000 "
11818,"$70,000 "
11819,"$70,000 "
11820,"$60,000 "
11821,"$60,000 "
11822,"$60,000 "
11823,"$70,000 "
11824,"$70,000 "
11825,"$70,000 "
11826,"$70,000 "
11827,"$60,000 "
11828,"$70,000 "
11829,"$70,000 "
11830,"$80,000 "
11831,"$80,000 "
11832,"$40,000 "
11833,"$80,000 "
11834,"$80,000 "
11835,"$80,000 "
11836,"$80,000 "
11837,"$80,000 "
11838,"$80,000 "
11839,"$60,000 "
11840,"$60,000 "
11841,"$40,000 "
11842,"$50,000 "
11843,"$50,000 "
11844,"$50,000 "
11845,"$30,000 "
11846,"$50,000 "
11847,"$50,000 "
11848,"$50,000 "
11849,"$50,000 "
11850,"$50,000 "
11851,"$60,000 "
11852,"$60,000 "
11853,"$60,000 "
11854,"$60,000 "
11855,"$60,000 "
11856,"$60,000 "
11857,"$60,000 "
11858,"$40,000 "
11860,"$70,000 "
11861,"$70,000 "
11862,"$40,000 "
11863,"$60,000 "
11864,"$60,000 "
11865,"$60,000 "
11866,"$60,000 "
11867,"$40,000 "
11868,"$70,000 "
11869,"$70,000 "
11870,"$70,000 "
11871,"$70,000 "
11872,"$60,000 "
11873,"$60,000 "
11874,"$60,000 "
11875,"$60,000 "
11876,"$60,000 "
11877,"$60,000 "
11878,"$60,000 "
11879,"$60,000 "
11880,"$60,000 "
11881,"$60,000 "
11882,"$60,000 "
11883,"$70,000 "
11884,"$80,000 "
11885,"$80,000 "
11886,"$60,000 "
11887,"$60,000 "
11888,"$60,000 "
11889,"$60,000 "
11890,"$70,000 "
11891,"$70,000 "
11892,"$90,000 "
11893,"$90,000 "
11894,"$100,000 "
11895,"$100,000 "
11896,"$100,000 "
11897,"$60,000 "
11898,"$80,000 "
11899,"$80,000 "
11900,"$90,000 "
11901,"$60,000 "
11902,"$70,000 "
11903,"$110,000 "
11904,"$110,000 "
11905,"$110,000 "
11906,"$80,000 "
11907,"$80,000 "
11908,"$80,000 "
11909,"$80,000 "
11910,"$80,000 "
11911,"$80,000 "
11912,"$60,000 "
11913,"$60,000 "
11914,"$70,000 "
11915,"$70,000 "
11916,"$70,000 "
11917,"$70,000 "
11918,"$60,000 "
11919,"$60,000 "
11920,"$60,000 "
11921,"$60,000 "
11922,"$90,000 "
11923,"$60,000 "
11924,"$60,000 "
11925,"$40,000 "
11926,"$40,000 "
11927,"$40,000 "
11929,"$30,000 "
11930,"$20,000 "
11931,"$70,000 "
11932,"$70,000 "
11933,"$40,000 "
11934,"$40,000 "
11935,"$30,000 "
11936,"$30,000 "
11937,"$30,000 "
11938,"$60,000 "
11939,"$60,000 "
11940,"$100,000 "
11941,"$60,000 "
11942,"$20,000 "
11943,"$20,000 "
11944,"$30,000 "
11945,"$20,000 "
11946,"$30,000 "
11947,"$30,000 "
11948,"$30,000 "
11949,"$70,000 "
11950,"$70,000 "
11951,"$40,000 "
11952,"$80,000 "
11953,"$40,000 "
11954,"$60,000 "
11955,"$60,000 "
11956,"$40,000 "
11957,"$60,000 "
11958,"$70,000 "
11959,"$70,000 "
11960,"$70,000 "
11961,"$70,000 "
11962,"$60,000 "
11964,"$70,000 "
11965,"$70,000 "
11966,"$70,000 "
11967,"$80,000 "
11968,"$130,000 "
11969,"$130,000 "
11970,"$80,000 "
11971,"$80,000 "
11972,"$60,000 "
11973,"$60,000 "
11974,"$60,000 "
11975,"$60,000 "
11976,"$120,000 "
11977,"$130,000 "
11978,"$130,000 "
11979,"$80,000 "
11980,"$60,000 "
11981,"$60,000 "
11982,"$60,000 "
11983,"$70,000 "
11984,"$80,000 "
11985,"$80,000 "
11986,"$70,000 "
11987,"$90,000 "
11988,"$70,000 "
11989,"$70,000 "
11990,"$70,000 "
11991,"$60,000 "
11992,"$60,000 "
11993,"$60,000 "
11994,"$110,000 "
11995,"$60,000 "
11996,"$60,000 "
11997,"$60,000 "
11998,"$60,000 "
11999,"$60,000 "
12000,"$70,000 "
12001,"$80,000 "
12002,"$70,000 "
12003,"$70,000 "
12004,"$70,000 "
12005,"$60,000 "
12006,"$70,000 "
12007,"$60,000 "
12008,"$70,000 "
12009,"$80,000 "
12010,"$80,000 "
12011,"$30,000 "
12012,"$60,000 "
12013,"$30,000 "
12014,"$10,000 "
12015,"$30,000 "
12016,"$40,000 "
12017,"$40,000 "
12018,"$30,000 "
12019,"$30,000 "
12020,"$30,000 "
12021,"$10,000 "
12022,"$40,000 "
12023,"$30,000 "
12024,"$40,000 "
12025,"$40,000 "
12026,"$40,000 "
12027,"$40,000 "
12028,"$30,000 "
12029,"$30,000 "
12030,"$40,000 "
12031,"$30,000 "
12032,"$30,000 "
12033,"$40,000 "
12034,"$40,000 "
12035,"$40,000 "
12036,"$40,000 "
12037,"$40,000 "
12038,"$40,000 "
12039,"$70,000 "
12040,"$40,000 "
12041,"$40,000 "
12042,"$40,000 "
12043,"$40,000 "
12044,"$40,000 "
12045,"$40,000 "
12046,"$40,000 "
12047,"$40,000 "
12048,"$70,000 "
12049,"$80,000 "
12050,"$110,000 "
12051,"$120,000 "
12052,"$120,000 "
12053,"$130,000 "
12054,"$90,000 "
12055,"$90,000 "
12056,"$120,000 "
12057,"$120,000 "
12058,"$130,000 "
12059,"$130,000 "
12060,"$150,000 "
12061,"$160,000 "
12062,"$70,000 "
12063,"$70,000 "
12064,"$70,000 "
12065,"$70,000 "
12066,"$70,000 "
12067,"$70,000 "
12068,"$70,000 "
12069,"$70,000 "
12070,"$70,000 "
12071,"$70,000 "
12072,"$70,000 "
12073,"$70,000 "
12074,"$70,000 "
12075,"$60,000 "
12076,"$70,000 "
12077,"$70,000 "
12078,"$60,000 "
12079,"$60,000 "
12080,"$60,000 "
12081,"$60,000 "
12082,"$70,000 "
12083,"$70,000 "
12084,"$60,000 "
12085,"$60,000 "
12086,"$60,000 "
12087,"$70,000 "
12088,"$70,000 "
12089,"$70,000 "
12090,"$40,000 "
12091,"$40,000 "
12092,"$40,000 "
12093,"$60,000 "
12094,"$60,000 "
12095,"$60,000 "
12096,"$60,000 "
12097,"$60,000 "
12098,"$60,000 "
12099,"$60,000 "
12100,"$60,000 "
12101,"$70,000 "
12102,"$70,000 "
12103,"$70,000 "
12104,"$70,000 "
12105,"$70,000 "
12106,"$40,000 "
12107,"$40,000 "
12108,"$60,000 "
12109,"$60,000 "
12110,"$60,000 "
12111,"$60,000 "
12112,"$70,000 "
12113,"$70,000 "
12114,"$70,000 "
12115,"$70,000 "
12116,"$70,000 "
12117,"$60,000 "
12118,"$60,000 "
12119,"$60,000 "
12120,"$60,000 "
12121,"$60,000 "
12122,"$70,000 "
12123,"$170,000 "
12124,"$110,000 "
12125,"$130,000 "
12126,"$150,000 "
12127,"$100,000 "
12128,"$120,000 "
12129,"$120,000 "
12130,"$120,000 "
12131,"$90,000 "
12132,"$110,000 "
12133,"$130,000 "
12134,"$170,000 "
12135,"$90,000 "
12136,"$30,000 "
12137,"$90,000 "
12138,"$70,000 "
12139,"$70,000 "
12140,"$90,000 "
12141,"$90,000 "
12142,"$100,000 "
12143,"$100,000 "
12144,"$100,000 "
12145,"$100,000 "
12146,"$110,000 "
12147,"$80,000 "
12148,"$100,000 "
12149,"$100,000 "
12150,"$130,000 "
12151,"$130,000 "
12152,"$130,000 "
12153,"$70,000 "
12154,"$80,000 "
12155,"$80,000 "
12156,"$70,000 "
12157,"$120,000 "
12158,"$80,000 "
12159,"$80,000 "
12160,"$90,000 "
12161,"$100,000 "
12162,"$120,000 "
12163,"$150,000 "
12164,"$150,000 "
12165,"$80,000 "
12166,"$80,000 "
12167,"$100,000 "
12168,"$80,000 "
12169,"$120,000 "
12170,"$130,000 "
12171,"$130,000 "
12172,"$130,000 "
12173,"$130,000 "
12174,"$170,000 "
12175,"$60,000 "
12176,"$60,000 "
12177,"$70,000 "
12178,"$80,000 "
12179,"$50,000 "
12180,"$50,000 "
12181,"$130,000 "
12182,"$70,000 "
12183,"$80,000 "
12184,"$100,000 "
12185,"$100,000 "
12186,"$100,000 "
12187,"$100,000 "
12188,"$110,000 "
12189,"$130,000 "
12190,"$170,000 "
12191,"$60,000 "
12192,"$60,000 "
12193,"$70,000 "
12194,"$70,000 "
12195,"$70,000 "
12196,"$70,000 "
12197,"$70,000 "
12198,"$60,000 "
12199,"$40,000 "
12200,"$70,000 "
12201,"$100,000 "
12202,"$100,000 "
12203,"$120,000 "
12204,"$120,000 "
12205,"$130,000 "
12206,"$90,000 "
12207,"$80,000 "
12208,"$130,000 "
12209,"$130,000 "
12210,"$10,000 "
12211,"$10,000 "
12212,"$10,000 "
12213,"$10,000 "
12214,"$20,000 "
12215,"$20,000 "
12216,"$20,000 "
12217,"$10,000 "
12218,"$10,000 "
12219,"$10,000 "
12220,"$10,000 "
12221,"$20,000 "
12222,"$20,000 "
12223,"$20,000 "
12224,"$20,000 "
12225,"$20,000 "
12226,"$10,000 "
12227,"$10,000 "
12229,"$10,000 "
12230,"$10,000 "
12231,"$10,000 "
12232,"$10,000 "
12233,"$10,000 "
12234,"$10,000 "
12235,"$30,000 "
12236,"$20,000 "
12237,"$20,000 "
12238,"$30,000 "
12239,"$30,000 "
12240,"$10,000 "
12241,"$10,000 "
12242,"$10,000 "
12243,"$10,000 "
12244,"$20,000 "
12245,"$10,000 "
12246,"$10,000 "
12247,"$20,000 "
12248,"$10,000 "
12249,"$20,000 "
12250,"$10,000 "
12251,"$20,000 "
12252,"$20,000 "
12253,"$20,000 "
12254,"$20,000 "
12255,"$20,000 "
12256,"$20,000 "
12257,"$30,000 "
12258,"$30,000 "
12259,"$30,000 "
12260,"$30,000 "
12261,"$10,000 "
12262,"$20,000 "
12263,"$20,000 "
12264,"$20,000 "
12265,"$10,000 "
12266,"$20,000 "
12267,"$20,000 "
12268,"$30,000 "
12269,"$30,000 "
12270,"$30,000 "
12271,"$30,000 "
12272,"$40,000 "
12273,"$30,000 "
12274,"$10,000 "
12275,"$20,000 "
12276,"$30,000 "
12277,"$10,000 "
12278,"$10,000 "
12279,"$30,000 "
12280,"$30,000 "
12281,"$40,000 "
12282,"$40,000 "
12283,"$20,000 "
12284,"$30,000 "
12285,"$30,000 "
12286,"$40,000 "
12287,"$10,000 "
12288,"$10,000 "
12289,"$10,000 "
12290,"$10,000 "
12291,"$90,000 "
